year,state_name,state_abbr,agency_id,agency_ori,agency_name,agency_population,population_group_code,population_group,reported,months_reported,nibrs_reported,nibrs_months_reported,covered,participated,nibrs_participated
2016,South Carolina,SC,23242,SC0260900,15th Circuit Drug Enforcement Unit,0,7,"Cities under 2,500",1,12,1,12,0,1,1
2016,South Carolina,SC,17442,SC0010000,Abbeville,15978,8C,"Non-MSA counties from 10,000 thru 24,999",1,12,1,12,0,1,1
2016,South Carolina,SC,17443,SC0010100,Abbeville,5173,6,"Cities from 2,500 thru 9,999",1,12,1,12,0,1,1
2016,South Carolina,SC,17453,SC0020000,Aiken,105257,9A,"MSA counties 100,000 or over",1,12,1,12,0,1,1
2016,South Carolina,SC,17454,SC0020100,Aiken,30415,4,"Cities from 25,000 thru 49,999",1,12,1,12,0,1,1
2016,South Carolina,SC,17464,SC0021100,Aiken Technical College,0,7,"Cities under 2,500",0,0,0,0,1,1,1
2016,South Carolina,SC,17473,SC0030100,Allendale,3133,6,"Cities from 2,500 thru 9,999",1,12,1,12,0,1,1
2016,South Carolina,SC,17472,SC0030000,Allendale,4558,8D,"Non-MSA counties under 10,000",0,0,0,0,0,0,0
2016,South Carolina,SC,17480,SC0040000,Anderson,152973,9A,"MSA counties 100,000 or over",1,12,1,12,0,1,1
2016,South Carolina,SC,17481,SC0040100,Anderson,27372,4,"Cities from 25,000 thru 49,999",0,10,1,12,0,0,1
2016,South Carolina,SC,17679,SC0220100,Andrews,2863,6,"Cities from 2,500 thru 9,999",1,12,1,12,0,1,1
2016,South Carolina,SC,17923,SC0420400,Arcadia,0,7,"Cities under 2,500",0,0,0,0,1,1,1
2016,South Carolina,SC,17727,SC0260100,Atlantic Beach,369,7,"Cities under 2,500",1,12,1,12,0,1,1
2016,South Carolina,SC,17729,SC0260300,Aynor,660,7,"Cities under 2,500",1,12,1,12,0,1,1
2016,South Carolina,SC,17497,SC0050100,Bamberg,3416,6,"Cities from 2,500 thru 9,999",1,12,1,12,0,1,1
2016,South Carolina,SC,17496,SC0050000,Bamberg,7527,8D,"Non-MSA counties under 10,000",1,12,1,12,0,1,1
2016,South Carolina,SC,17508,SC0060100,Barnwell,4624,6,"Cities from 2,500 thru 9,999",1,12,1,12,0,1,1
2016,South Carolina,SC,17507,SC0060000,Barnwell,11888,8C,"Non-MSA counties from 10,000 thru 24,999",1,12,1,12,0,1,1
2016,South Carolina,SC,17789,SC0320100,Batesburg-Leesville,5438,6,"Cities from 2,500 thru 9,999",1,12,1,12,0,1,1
2016,South Carolina,SC,17517,SC0070100,Beaufort,13296,5,"Cities from 10,000 thru 24,999",1,12,1,12,0,1,1
2016,South Carolina,SC,17516,SC0070000,Beaufort,138399,9A,"MSA counties 100,000 or over",1,12,1,12,0,1,1
2016,South Carolina,SC,17482,SC0040200,Belton,4324,6,"Cities from 2,500 thru 9,999",1,12,1,12,0,1,1
2016,South Carolina,SC,17904,SC0408E00,Benedict College,0,7,"Cities under 2,500",1,12,1,12,0,1,1
2016,South Carolina,SC,17828,SC0350100,Bennettsville,8773,6,"Cities from 2,500 thru 9,999",1,12,1,12,0,1,1
2016,South Carolina,SC,17526,SC0080000,Berkeley,116330,9A,"MSA counties 100,000 or over",1,12,1,12,0,1,1
2016,South Carolina,SC,17533,SC0080700,Berkeley County School District Public Safety Department,0,9D,"MSA counties under 10,000",0,0,0,0,1,1,1
2016,South Carolina,SC,17752,SC0280200,Bethune,345,7,"Cities under 2,500",0,7,0,8,0,0,0
2016,South Carolina,SC,17781,SC0310100,Bishopville,3260,6,"Cities from 2,500 thru 9,999",1,12,1,12,0,1,1
2016,South Carolina,SC,17569,SC0110100,Blacksburg,1880,7,"Cities under 2,500",1,12,1,12,0,1,1
2016,South Carolina,SC,17510,SC0060300,Blackville,2307,7,"Cities under 2,500",1,12,1,12,0,1,1
2016,South Carolina,SC,17518,SC0070200,Bluffton,15689,5,"Cities from 10,000 thru 24,999",1,12,1,12,0,1,1
2016,South Carolina,SC,17697,SC0231900,Bob Jones University,0,7,"Cities under 2,500",1,12,1,12,0,1,1
2016,South Carolina,SC,17528,SC0080200,Bonneau,512,7,"Cities under 2,500",0,0,0,0,0,0,0
2016,South Carolina,SC,17862,SC0380300,Bowman,937,7,"Cities under 2,500",0,0,0,0,0,0,0
2016,South Carolina,SC,17861,SC0380200,Branchville,992,7,"Cities under 2,500",1,12,1,12,0,1,1
2016,South Carolina,SC,17736,SC0261100,Briarcliffe Acres,524,7,"Cities under 2,500",1,12,1,12,0,1,1
2016,South Carolina,SC,17715,SC0250100,Brunson,526,7,"Cities under 2,500",0,0,0,0,1,1,1
2016,South Carolina,SC,17907,SC040BP00,Bureau of Protective Services,0,7,"Cities under 2,500",1,12,1,12,0,1,1
2016,South Carolina,SC,17457,SC0020400,Burnettown,2782,6,"Cities from 2,500 thru 9,999",1,12,1,12,0,1,1
2016,South Carolina,SC,17539,SC0090000,Calhoun,12457,9C,"MSA counties from 10,000 thru 24,999",1,12,1,12,0,1,1
2016,South Carolina,SC,17444,SC0010200,Calhoun Falls,1958,7,"Cities under 2,500",0,0,0,0,0,0,0
2016,South Carolina,SC,17751,SC0280100,Camden,7075,6,"Cities from 2,500 thru 9,999",1,12,1,12,0,1,1
2016,South Carolina,SC,17540,SC0090100,Cameron,417,7,"Cities under 2,500",1,12,1,12,0,1,1
2016,South Carolina,SC,17924,SC0420500,Campobello,526,7,"Cities under 2,500",1,12,1,12,0,1,1
2016,South Carolina,SC,17954,SC0440200,Carlisle,412,7,"Cities under 2,500",0,0,0,0,1,1,1
2016,South Carolina,SC,17790,SC0320200,Cayce,13055,5,"Cities from 10,000 thru 24,999",1,12,1,12,0,1,1
2016,South Carolina,SC,17879,SC0390100,Central,5142,6,"Cities from 2,500 thru 9,999",1,12,1,12,0,1,1
2016,South Carolina,SC,17794,SC0320600,Chapin,1551,7,"Cities under 2,500",1,12,1,12,0,1,1
2016,South Carolina,SC,17839,SC0360300,Chappells,0,7,"Cities under 2,500",0,0,0,0,1,1,1
2016,South Carolina,SC,17548,SC0100100,Charleston,132585,2,"Cities from 100,000 thru 249,000",1,12,1,12,0,1,1
2016,South Carolina,SC,17547,SC0100000,Charleston,87017,9B,"MSA counties from 25,000 thru 99,999",0,8,1,12,0,0,1
2016,South Carolina,SC,17561,SC0101500,Charleston County Aviation Authority,0,9D,"MSA counties under 10,000",1,12,1,12,0,1,1
2016,South Carolina,SC,17549,SC0100200,Charleston Police Department,0,9D,"MSA counties under 10,000",0,0,0,0,1,0,1
2016,South Carolina,SC,17586,SC0130100,Cheraw,5781,6,"Cities from 2,500 thru 9,999",1,12,1,12,0,1,1
2016,South Carolina,SC,17568,SC0110000,Cherokee,41733,8B,"Non-MSA counties from 25,000 thru 99,999",1,12,1,12,0,1,1
2016,South Carolina,SC,17925,SC0420600,Chesnee,896,7,"Cities under 2,500",1,12,1,12,0,1,1
2016,South Carolina,SC,17576,SC0120000,Chester,23968,9C,"MSA counties from 10,000 thru 24,999",1,12,1,12,0,1,1
2016,South Carolina,SC,17577,SC0120100,Chester,5467,6,"Cities from 2,500 thru 9,999",1,12,1,12,0,1,1
2016,South Carolina,SC,17587,SC0130200,Chesterfield,1452,7,"Cities under 2,500",1,12,1,12,0,1,1
2016,South Carolina,SC,17585,SC0130000,Chesterfield,35279,8B,"Non-MSA counties from 25,000 thru 99,999",1,12,1,12,0,1,1
2016,South Carolina,SC,17695,SC0230800,City View,0,7,"Cities under 2,500",0,0,0,0,1,1,1
2016,South Carolina,SC,17597,SC0140000,Clarendon,28165,8B,"Non-MSA counties from 25,000 thru 99,999",1,12,1,12,0,1,1
2016,South Carolina,SC,17880,SC0390200,Clemson,15369,5,"Cities from 10,000 thru 24,999",1,12,1,12,0,1,1
2016,South Carolina,SC,17884,SC0390600,Clemson University,0,7,"Cities under 2,500",1,12,1,12,0,1,1
2016,South Carolina,SC,17770,SC0300200,Clinton,8648,6,"Cities from 2,500 thru 9,999",1,12,1,12,0,1,1
2016,South Carolina,SC,17830,SC0350300,Clio,689,7,"Cities under 2,500",0,10,0,11,0,0,0
2016,South Carolina,SC,17973,SC0460100,Clover,5696,6,"Cities from 2,500 thru 9,999",1,12,1,12,0,1,1
2016,South Carolina,SC,17735,SC0261000,Coastal Carolina University,0,7,"Cities under 2,500",1,12,1,12,0,1,1
2016,South Carolina,SC,17562,SC0101700,College of Charleston,0,7,"Cities under 2,500",1,12,1,12,0,1,1
2016,South Carolina,SC,17606,SC0150000,Colleton,31187,8B,"Non-MSA counties from 25,000 thru 99,999",1,12,1,12,0,1,1
2016,South Carolina,SC,17892,SC0400100,Columbia,132495,2,"Cities from 100,000 thru 249,000",1,12,1,12,0,1,1
2016,South Carolina,SC,17905,SC0409E00,Columbia College,0,7,"Cities under 2,500",1,12,1,12,0,1,1
2016,South Carolina,SC,17801,SC0321300,Columbia Metropolitan Airport,0,7,"Cities under 2,500",1,12,1,12,0,1,1
2016,South Carolina,SC,17728,SC0260200,Conway,20938,5,"Cities from 10,000 thru 24,999",1,12,1,12,0,1,1
2016,South Carolina,SC,17863,SC0380400,Cordova,165,7,"Cities under 2,500",0,0,0,0,1,1,1
2016,South Carolina,SC,17609,SC0150300,Cottageville,734,7,"Cities under 2,500",1,12,1,12,0,1,1
2016,South Carolina,SC,17665,SC0210300,Coward,755,7,"Cities under 2,500",1,12,1,12,0,1,1
2016,South Carolina,SC,17926,SC0420700,Cowpens,2253,7,"Cities under 2,500",1,12,1,12,0,1,1
2016,South Carolina,SC,17771,SC0300300,Cross Hill,495,7,"Cities under 2,500",0,0,0,0,1,1,1
2016,South Carolina,SC,17615,SC0160000,Darlington,52177,9B,"MSA counties from 25,000 thru 99,999",1,12,1,12,0,1,1
2016,South Carolina,SC,17616,SC0160100,Darlington,6186,6,"Cities from 2,500 thru 9,999",1,12,1,12,0,1,1
2016,South Carolina,SC,17498,SC0050200,Denmark,3334,6,"Cities from 2,500 thru 9,999",1,12,1,12,0,1,1
2016,South Carolina,SC,17501,SC0050500,Denmark Technical College,0,7,"Cities under 2,500",1,12,1,12,0,1,1
2016,South Carolina,SC,17901,SC0402100,Department of Disabilities and Special Needs,0,7,"Cities under 2,500",0,0,0,0,1,1,1
2016,South Carolina,SC,17897,SC0401200,Department of Mental Health,0,7,"Cities under 2,500",1,12,1,12,0,1,1
2016,South Carolina,SC,17451,SC001NR00,Department of Natural Resources: Abbeville County,0,8D,"Non-MSA counties under 10,000",1,12,1,12,0,1,1
2016,South Carolina,SC,17470,SC002NR00,Department of Natural Resources: Aiken County,0,9D,"MSA counties under 10,000",1,12,1,12,0,1,1
2016,South Carolina,SC,17478,SC003NR00,Department of Natural Resources: Allendale County,0,8D,"Non-MSA counties under 10,000",1,12,1,12,0,1,1
2016,South Carolina,SC,17494,SC004NR00,Department of Natural Resources: Anderson County,0,9E,MSA State Police,1,12,1,12,0,1,1
2016,South Carolina,SC,17505,SC005NR00,Department of Natural Resources: Bamberg County,0,8D,"Non-MSA counties under 10,000",1,12,1,12,0,1,1
2016,South Carolina,SC,17514,SC006NR00,Department of Natural Resources: Barnwell County,0,8D,"Non-MSA counties under 10,000",1,12,1,12,0,1,1
2016,South Carolina,SC,17524,SC007NR00,Department of Natural Resources: Beaufort County,0,9D,"MSA counties under 10,000",1,12,1,12,0,1,1
2016,South Carolina,SC,17537,SC008NR00,Department of Natural Resources: Berkeley County,0,9E,MSA State Police,1,12,1,12,0,1,1
2016,South Carolina,SC,17545,SC009NR00,Department of Natural Resources: Calhoun County,0,9D,"MSA counties under 10,000",1,12,1,12,0,1,1
2016,South Carolina,SC,17566,SC010NR00,Department of Natural Resources: Charleston County,0,9E,MSA State Police,1,12,1,12,0,1,1
2016,South Carolina,SC,17574,SC011NR00,Department of Natural Resources: Cherokee County,0,8E,Non-MSA State Police,1,12,1,12,0,1,1
2016,South Carolina,SC,17583,SC012NR00,Department of Natural Resources: Chester County,0,9D,"MSA counties under 10,000",1,12,1,12,0,1,1
2016,South Carolina,SC,17595,SC013NR00,Department of Natural Resources: Chesterfield County,0,8D,"Non-MSA counties under 10,000",1,12,1,12,0,1,1
2016,South Carolina,SC,17604,SC014NR00,Department of Natural Resources: Clarendon County,0,8D,"Non-MSA counties under 10,000",1,12,1,12,0,1,1
2016,South Carolina,SC,17613,SC015NR00,Department of Natural Resources: Colleton County,0,8D,"Non-MSA counties under 10,000",1,12,1,12,0,1,1
2016,South Carolina,SC,17623,SC016NR00,Department of Natural Resources: Darlington County,0,9D,"MSA counties under 10,000",1,12,1,12,0,1,1
2016,South Carolina,SC,17633,SC017NR00,Department of Natural Resources: Dillon County,0,8D,"Non-MSA counties under 10,000",1,12,1,12,0,1,1
2016,South Carolina,SC,17643,SC018NR00,Department of Natural Resources: Dorchester County,0,9E,MSA State Police,1,12,1,12,0,1,1
2016,South Carolina,SC,17652,SC019NR00,Department of Natural Resources: Edgefield County,0,9E,MSA State Police,1,12,1,12,0,1,1
2016,South Carolina,SC,17660,SC020NR00,Department of Natural Resources: Fairfield County,0,9E,MSA State Police,1,12,1,12,0,1,1
2016,South Carolina,SC,17676,SC021NR00,Department of Natural Resources: Florence County,0,9E,MSA State Police,1,12,1,12,0,1,1
2016,South Carolina,SC,17685,SC022NR00,Department of Natural Resources: Georgetown County,0,8E,Non-MSA State Police,1,12,1,12,0,1,1
2016,South Carolina,SC,17701,SC023NR00,Department of Natural Resources: Greenville County,0,9E,MSA State Police,1,12,1,12,0,1,1
2016,South Carolina,SC,17712,SC024NR00,Department of Natural Resources: Greenwood County,0,8D,"Non-MSA counties under 10,000",1,12,1,12,0,1,1
2016,South Carolina,SC,17724,SC025NR00,Department of Natural Resources: Hampton County,0,8D,"Non-MSA counties under 10,000",1,12,1,12,0,1,1
2016,South Carolina,SC,17740,SC026NR00,Department of Natural Resources: Horry County,0,9E,MSA State Police,1,12,1,12,0,1,1
2016,South Carolina,SC,17748,SC027NR00,Department of Natural Resources: Jasper County,0,9D,"MSA counties under 10,000",1,12,1,12,0,1,1
2016,South Carolina,SC,17757,SC028NR00,Department of Natural Resources: Kershaw County,0,9D,"MSA counties under 10,000",1,12,1,12,0,1,1
2016,South Carolina,SC,17766,SC029NR00,Department of Natural Resources: Lancaster County,0,9D,"MSA counties under 10,000",1,12,1,12,0,1,1
2016,South Carolina,SC,17778,SC030NR00,Department of Natural Resources: Laurens County,0,9D,"MSA counties under 10,000",1,12,1,12,0,1,1
2016,South Carolina,SC,17786,SC031NR00,Department of Natural Resources: Lee County,0,8D,"Non-MSA counties under 10,000",1,12,1,12,0,1,1
2016,South Carolina,SC,17809,SC032NR00,Department of Natural Resources: Lexington County,0,9E,MSA State Police,1,12,1,12,0,1,1
2016,South Carolina,SC,17825,SC034NR00,Department of Natural Resources: Marion County,0,8D,"Non-MSA counties under 10,000",1,12,1,12,0,1,1
2016,South Carolina,SC,17834,SC035NR00,Department of Natural Resources: Marlboro County,0,8D,"Non-MSA counties under 10,000",1,12,1,12,0,1,1
2016,South Carolina,SC,17816,SC033NR00,Department of Natural Resources: McCormick County,0,8D,"Non-MSA counties under 10,000",1,12,1,12,0,1,1
2016,South Carolina,SC,17846,SC036NR00,Department of Natural Resources: Newberry County,0,8D,"Non-MSA counties under 10,000",1,12,1,12,0,1,1
2016,South Carolina,SC,17857,SC037NR00,Department of Natural Resources: Oconee County,0,8D,"Non-MSA counties under 10,000",1,12,1,12,0,1,1
2016,South Carolina,SC,17876,SC038NR00,Department of Natural Resources: Orangeburg County,0,8D,"Non-MSA counties under 10,000",1,12,1,12,0,1,1
2016,South Carolina,SC,17889,SC039NR00,Department of Natural Resources: Pickens County,0,9E,MSA State Police,1,12,1,12,0,1,1
2016,South Carolina,SC,17909,SC040NR00,Department of Natural Resources: Richland County,0,9E,MSA State Police,1,12,1,12,0,1,1
2016,South Carolina,SC,17917,SC041NR00,Department of Natural Resources: Saluda County,0,9D,"MSA counties under 10,000",1,12,1,12,0,1,1
2016,South Carolina,SC,17941,SC042NR00,Department of Natural Resources: Spartanburg County,0,9E,MSA State Police,1,12,1,12,0,1,1
2016,South Carolina,SC,17950,SC043NR00,Department of Natural Resources: Sumter County,0,9E,MSA State Police,1,12,1,12,0,1,1
2016,South Carolina,SC,17959,SC044NR00,Department of Natural Resources: Union County,0,9D,"MSA counties under 10,000",1,12,1,12,0,1,1
2016,South Carolina,SC,17970,SC045NR00,Department of Natural Resources: Williamsburg County,0,8D,"Non-MSA counties under 10,000",1,12,1,12,0,1,1
2016,South Carolina,SC,17982,SC046NR00,Department of Natural Resources: York County,0,9E,MSA State Police,1,12,1,12,0,1,1
2016,South Carolina,SC,23101,SC0403300,Department of Public Safety Illegal Immigration Enforcement Unit,0,7,"Cities under 2,500",1,12,1,12,0,1,1
2016,South Carolina,SC,17625,SC0170000,Dillon,22227,8C,"Non-MSA counties from 10,000 thru 24,999",1,12,1,12,0,1,1
2016,South Carolina,SC,17626,SC0170100,Dillon,6618,6,"Cities from 2,500 thru 9,999",1,12,1,12,0,1,1
2016,South Carolina,SC,17445,SC0010300,Donalds,343,7,"Cities under 2,500",0,0,0,0,1,1,1
2016,South Carolina,SC,17635,SC0180000,Dorchester,82766,9B,"MSA counties from 25,000 thru 99,999",1,12,1,12,0,1,1
2016,South Carolina,SC,17446,SC0010400,Due West,1256,7,"Cities under 2,500",1,12,1,12,0,1,1
2016,South Carolina,SC,17922,SC0420300,Duncan,3297,6,"Cities from 2,500 thru 9,999",1,12,1,12,0,1,1
2016,South Carolina,SC,17881,SC0390300,Easley,20676,5,"Cities from 10,000 thru 24,999",1,12,1,12,0,1,1
2016,South Carolina,SC,17893,SC0400300,Eastover,821,7,"Cities under 2,500",0,0,0,0,1,1,1
2016,South Carolina,SC,17645,SC0190000,Edgefield,19353,9C,"MSA counties from 10,000 thru 24,999",0,9,0,11,0,0,0
2016,South Carolina,SC,17646,SC0190100,Edgefield,4710,6,"Cities from 2,500 thru 9,999",1,12,1,12,0,1,1
2016,South Carolina,SC,17608,SC0150200,Edisto Beach,414,7,"Cities under 2,500",1,12,1,12,0,1,1
2016,South Carolina,SC,17499,SC0050300,Ehrhardt,511,7,"Cities under 2,500",1,12,1,12,0,1,1
2016,South Carolina,SC,17753,SC0280400,Elgin,1452,7,"Cities under 2,500",1,12,1,12,0,1,1
2016,South Carolina,SC,17864,SC0380500,Elloree,685,7,"Cities under 2,500",1,12,1,12,0,1,1
2016,South Carolina,SC,17899,SC0401500,Employment Security Commission,0,7,"Cities under 2,500",0,0,0,0,1,1,1
2016,South Carolina,SC,17927,SC0420800,Enoree,705,7,"Cities under 2,500",0,0,0,0,1,1,1
2016,South Carolina,SC,17448,SC0019E00,Erskine College,0,7,"Cities under 2,500",1,12,1,12,0,1,1
2016,South Carolina,SC,17716,SC0250200,Estill,2022,7,"Cities under 2,500",1,12,1,12,0,1,1
2016,South Carolina,SC,17865,SC0380600,Eutawville,307,7,"Cities under 2,500",1,12,1,12,0,1,1
2016,South Carolina,SC,17474,SC0030200,Fairfax,1870,7,"Cities under 2,500",0,5,0,5,0,0,0
2016,South Carolina,SC,17654,SC0200000,Fairfield,19472,9C,"MSA counties from 10,000 thru 24,999",1,12,1,12,0,1,1
2016,South Carolina,SC,17662,SC0210000,Florence,86894,9B,"MSA counties from 25,000 thru 99,999",1,12,1,12,0,1,1
2016,South Carolina,SC,17663,SC0210100,Florence,38183,4,"Cities from 25,000 thru 49,999",1,12,1,12,0,1,1
2016,South Carolina,SC,17551,SC0100400,Folly Beach,2769,6,"Cities from 2,500 thru 9,999",1,12,1,12,0,1,1
2016,South Carolina,SC,17894,SC0400400,Forest Acres,10649,5,"Cities from 10,000 thru 24,999",1,12,1,12,0,1,1
2016,South Carolina,SC,17450,SC001FC00,Forestry Commission: Abbeville County,0,8D,"Non-MSA counties under 10,000",1,12,1,12,0,1,1
2016,South Carolina,SC,17469,SC002FC00,Forestry Commission: Aiken County,0,9D,"MSA counties under 10,000",1,12,1,12,0,1,1
2016,South Carolina,SC,17477,SC003FC00,Forestry Commission: Allendale County,0,8D,"Non-MSA counties under 10,000",1,12,1,12,0,1,1
2016,South Carolina,SC,17493,SC004FC00,Forestry Commission: Anderson County,0,9D,"MSA counties under 10,000",1,12,1,12,0,1,1
2016,South Carolina,SC,17504,SC005FC00,Forestry Commission: Bamberg County,0,8D,"Non-MSA counties under 10,000",1,12,1,12,0,1,1
2016,South Carolina,SC,17513,SC006FC00,Forestry Commission: Barnwell County,0,8D,"Non-MSA counties under 10,000",1,12,1,12,0,1,1
2016,South Carolina,SC,17523,SC007FC00,Forestry Commission: Beaufort County,0,9D,"MSA counties under 10,000",1,12,1,12,0,1,1
2016,South Carolina,SC,17536,SC008FC00,Forestry Commission: Berkeley County,0,9D,"MSA counties under 10,000",1,12,1,12,0,1,1
2016,South Carolina,SC,17544,SC009FC00,Forestry Commission: Calhoun County,0,9D,"MSA counties under 10,000",1,12,1,12,0,1,1
2016,South Carolina,SC,17565,SC010FC00,Forestry Commission: Charleston County,0,9D,"MSA counties under 10,000",1,12,1,12,0,1,1
2016,South Carolina,SC,17573,SC011FC00,Forestry Commission: Cherokee County,0,8D,"Non-MSA counties under 10,000",1,12,1,12,0,1,1
2016,South Carolina,SC,17582,SC012FC00,Forestry Commission: Chester County,0,9D,"MSA counties under 10,000",1,12,1,12,0,1,1
2016,South Carolina,SC,17594,SC013FC00,Forestry Commission: Chesterfield County,0,8D,"Non-MSA counties under 10,000",1,12,1,12,0,1,1
2016,South Carolina,SC,17603,SC014FC00,Forestry Commission: Clarendon County,0,8D,"Non-MSA counties under 10,000",1,12,1,12,0,1,1
2016,South Carolina,SC,17612,SC015FC00,Forestry Commission: Colleton County,0,8D,"Non-MSA counties under 10,000",1,12,1,12,0,1,1
2016,South Carolina,SC,17622,SC016FC00,Forestry Commission: Darlington County,0,9D,"MSA counties under 10,000",1,12,1,12,0,1,1
2016,South Carolina,SC,17632,SC017FC00,Forestry Commission: Dillon County,0,8D,"Non-MSA counties under 10,000",1,12,1,12,0,1,1
2016,South Carolina,SC,17642,SC018FC00,Forestry Commission: Dorchester County,0,9D,"MSA counties under 10,000",1,12,1,12,0,1,1
2016,South Carolina,SC,17651,SC019FC00,Forestry Commission: Edgefield County,0,9D,"MSA counties under 10,000",1,12,1,12,0,1,1
2016,South Carolina,SC,17659,SC020FC00,Forestry Commission: Fairfield County,0,9D,"MSA counties under 10,000",1,12,1,12,0,1,1
2016,South Carolina,SC,17675,SC021FC00,Forestry Commission: Florence County,0,9D,"MSA counties under 10,000",1,12,1,12,0,1,1
2016,South Carolina,SC,17684,SC022FC00,Forestry Commission: Georgetown County,0,8D,"Non-MSA counties under 10,000",1,12,1,12,0,1,1
2016,South Carolina,SC,17700,SC023FC00,Forestry Commission: Greenville County,0,9D,"MSA counties under 10,000",1,12,1,12,0,1,1
2016,South Carolina,SC,17711,SC024FC00,Forestry Commission: Greenwood County,0,8D,"Non-MSA counties under 10,000",1,12,1,12,0,1,1
2016,South Carolina,SC,17723,SC025FC00,Forestry Commission: Hampton County,0,8D,"Non-MSA counties under 10,000",1,12,1,12,0,1,1
2016,South Carolina,SC,17739,SC026FC00,Forestry Commission: Horry County,0,9D,"MSA counties under 10,000",1,12,1,12,0,1,1
2016,South Carolina,SC,17747,SC027FC00,Forestry Commission: Jasper County,0,9D,"MSA counties under 10,000",1,12,1,12,0,1,1
